  Freq(MHz)  	dB re. 1V/uPa	    V/Pa     	V^2cm^2/W    	  
    1.000	       -278.66	       1.167E-008	      2.044E-006
    1.050	       -278.53	       1.184E-008	      2.103E-006
    1.100	       -278.53	       1.184E-008	      2.104E-006
    1.150	       -278.23	       1.226E-008	      2.254E-006
    1.200	       -278.59	       1.176E-008	      2.073E-006
    1.250	       -279.18	       1.099E-008	      1.813E-006
    1.300	       -279.70	       1.036E-008	      1.608E-006
    1.350	       -280.41	       9.544E-009	      1.366E-006
    1.400	       -280.29	       9.676E-009	      1.404E-006
    1.450	       -280.52	       9.424E-009	      1.332E-006
    1.500	       -280.36	       9.592E-009	      1.380E-006
    1.550	       -280.08	       9.911E-009	      1.473E-006
    1.600	       -279.76	       1.028E-008	      1.586E-006
    1.650	       -279.55	       1.053E-008	      1.664E-006
    1.700	       -279.68	       1.037E-008	      1.613E-006
    1.750	       -279.79	       1.024E-008	      1.574E-006
    1.800	       -280.11	       9.870E-009	      1.461E-006
    1.850	       -280.59	       9.342E-009	      1.309E-006
    1.900	       -281.05	       8.865E-009	      1.179E-006
    1.950	       -281.58	       8.335E-009	      1.042E-006
    2.000	       -281.91	       8.026E-009	      9.661E-007
    2.050	       -281.86	       8.076E-009	      9.782E-007
    2.100	       -281.88	       8.050E-009	      9.721E-007
    2.150	       -281.53	       8.387E-009	      1.055E-006
    2.200	       -281.40	       8.508E-009	      1.086E-006
    2.250	       -281.32	       8.586E-009	      1.106E-006
    2.300	       -281.38	       8.530E-009	      1.091E-006
    2.350	       -281.61	       8.306E-009	      1.035E-006
    2.400	       -281.44	       8.472E-009	      1.077E-006
    2.450	       -281.38	       8.527E-009	      1.091E-006
    2.500	       -281.68	       8.239E-009	      1.018E-006
    2.550	       -281.89	       8.048E-009	      9.715E-007
    2.600	       -281.97	       7.968E-009	      9.524E-007
    2.650	       -282.18	       7.782E-009	      9.083E-007
    2.700	       -282.25	       7.721E-009	      8.943E-007
    2.750	       -282.14	       7.815E-009	      9.162E-007
    2.800	       -281.83	       8.100E-009	      9.842E-007
    2.850	       -281.41	       8.499E-009	      1.083E-006
    2.900	       -281.23	       8.675E-009	      1.129E-006
    2.950	       -281.29	       8.623E-009	      1.115E-006
    3.000	       -281.21	       8.699E-009	      1.135E-006
    3.050	       -281.24	       8.665E-009	      1.126E-006
    3.100	       -281.37	       8.537E-009	      1.093E-006
    3.150	       -281.52	       8.396E-009	      1.057E-006
    3.200	       -281.76	       8.161E-009	      9.992E-007
    3.250	       -282.09	       7.861E-009	      9.269E-007
    3.300	       -282.14	       7.815E-009	      9.162E-007
    3.350	       -282.04	       7.911E-009	      9.388E-007
    3.400	       -281.79	       8.134E-009	      9.923E-007
    3.450	       -281.63	       8.285E-009	      1.030E-006
    3.500	       -281.43	       8.478E-009	      1.078E-006
    3.550	       -281.56	       8.359E-009	      1.048E-006
    3.600	       -281.71	       8.213E-009	      1.012E-006
    3.650	       -281.84	       8.089E-009	      9.815E-007
    3.700	       -281.84	       8.087E-009	      9.810E-007
    3.750	       -281.86	       8.068E-009	      9.763E-007
    3.800	       -281.93	       8.011E-009	      9.626E-007
    3.850	       -282.13	       7.827E-009	      9.189E-007
    3.900	       -282.41	       7.575E-009	      8.608E-007
    3.950	       -282.57	       7.439E-009	      8.301E-007
    4.000	       -282.38	       7.604E-009	      8.672E-007
    4.050	       -282.15	       7.812E-009	      9.153E-007
    4.100	       -282.14	       7.814E-009	      9.159E-007
    4.150	       -282.15	       7.806E-009	      9.140E-007
    4.200	       -282.09	       7.860E-009	      9.267E-007
    4.250	       -282.08	       7.870E-009	      9.290E-007
    4.300	       -281.95	       7.987E-009	      9.568E-007
    4.350	       -281.93	       8.005E-009	      9.612E-007
    4.400	       -282.01	       7.933E-009	      9.441E-007
    4.450	       -282.17	       7.789E-009	      9.100E-007
    4.500	       -282.40	       7.582E-009	      8.623E-007
    4.550	       -282.51	       7.492E-009	      8.418E-007
    4.600	       -282.46	       7.529E-009	      8.504E-007
    4.650	       -282.29	       7.681E-009	      8.850E-007
    4.700	       -282.17	       7.792E-009	      9.106E-007
    4.750	       -282.13	       7.826E-009	      9.187E-007
    4.800	       -281.96	       7.984E-009	      9.562E-007
    4.850	       -281.85	       8.085E-009	      9.806E-007
    4.900	       -281.84	       8.087E-009	      9.810E-007
    4.950	       -281.93	       8.004E-009	      9.609E-007
    5.000	       -282.02	       7.925E-009	      9.420E-007
    5.050	       -281.96	       7.978E-009	      9.548E-007
    5.100	       -281.91	       8.022E-009	      9.652E-007
    5.150	       -281.78	       8.150E-009	      9.964E-007
    5.200	       -281.74	       8.183E-009	      1.005E-006
    5.250	       -281.81	       8.119E-009	      9.887E-007
    5.300	       -281.73	       8.190E-009	      1.006E-006
    5.350	       -281.65	       8.273E-009	      1.027E-006
